"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Arroz Blanco","1000000000001","Granos","2026-03-15","La Merced",22.00,300
"Bebida Energia","1000000000002","Bebidas","2027-08-20","RedBull",35.00,150
"Cafe Molido","1000000000003","Bebidas","2027-01-10","Nescafe",45.00,200
"Dona Azucar","1000000000004","Panaderia","2026-02-28","Bimbo",12.00,80
"Frijol Negro","1000000000005","Granos","2027-04-01","La Merced",28.00,150
"Galleta Maria","1000000000006","Panaderia","2026-11-30","Marinela",18.00,250
"Helado Vainilla","1000000000007","Congelados","2026-06-15","Iglo",55.00,60
"Jabon Barra","1000000000008","Higiene","2028-01-01","Dove",14.00,400
"Leche Entera","1000000000009","Lacteos","2026-05-20","Lala",18.50,100
"Mango Ataulfo","1000000000010","Frutas","2026-04-10","Del Monte",15.00,90
"Naranja","1000000000011","Frutas","2026-03-25","Fresh",8.00,200
"Pan Blanco","1000000000012","Panaderia","2026-02-14","Bimbo",25.00,120
"Queso Manchego","1000000000013","Lacteos","2026-07-01","Lala",65.00,70
"Refresco Cola","1000000000014","Bebidas","2028-06-30","Coca-Cola",18.00,500
"Salchicha Frankfurt","1000000000015","Carnes","2026-04-05","FUD",42.00,80
"Tomate Rojo","1000000000016","Verduras","2026-03-01","Local",12.00,180
"Uva Verde","1000000000017","Frutas","2026-02-20","Dole",32.00,60
"Yogurt Natural","1000000000018","Lacteos","2026-04-15","Alpura",15.00,90
"Zanahoria","1000000000019","Verduras","2026-05-10","Local",9.00,220
"Agua Mineral","1000000000020","Bebidas","2028-12-31","Bonafont",8.50,500
